tweet,date,Agent,Role
"@ProfNoodlearms Yeah, it's not a great selling point is it? I remember reading a fire/brimstone from another church and being like ""who'd believe that?"" but then my church was saying ""If you aren't one of us, you won't see your family in the afterlife""",2021-09-29 19:43:56,Brimstone,Controller
@armondwakeup the ol fire and brimstone,2021-09-29 19:28:00,Brimstone,Controller
"I really appreciate that we air @BBCNewshour during the last hour of my shift. Yeah, the news is still all fire &amp; brimstone, but at least it’s in a cool accent",2021-09-29 19:24:25,Brimstone,Controller
brimstone lineups on point https://t.co/o2c8sFwuVE,2021-09-29 19:18:10,Brimstone,Controller
"Welp, the hellfire and brimstone people are on campus today. I'm not sure.idntheybtgey think they are convincing people, or if they just enjoy the attention",2021-09-29 19:12:33,Brimstone,Controller
"Hell isn’t fire and brimstone. 

Hell is being stuck behind someone in line that dosent know what they want to order",2021-09-29 19:06:50,Brimstone,Controller
"@IncorrectValo reyna: Brimstone do you even know what that word means
brimstone: yes yoru told me it means thoughtfull person
reyna: *glares at yoru*
yoru in his mind: i aint gonna survive this dinner tonight",2021-09-29 19:01:46,Brimstone,Controller
"@IncorrectValo [what if Brimstone actually knows?]

Brimstone : what's a thot?

Yoru : it's short for a thoughtful person

[later at the dinner table]

Reyna : here's the salt, brim 

Brimstone : thanks reyna you know, Yoru told me you were such a thot

Yoru : [panic noises]

Brim : 😈",2021-09-29 18:58:27,Brimstone,Controller
"In today's #Nigeria, one Hakeem Baba-Ahmed, descendant of a #Mauritanian cow seller, threatening fire and brimstone unless the Northern Nigeria produces a successor to the current president (who also happens to be a descendant of a nomad from #Niger Republic)?",2021-09-29 18:57:56,Brimstone,Controller
"Revelation 14:10  The same shall drink of the wine of the wrath of God, which is poured out without mixture into the cup of his indignation; and he shall be tormented with fire and brimstone in the presence of the holy angels, and in the presence of the Lamb.",2021-09-29 18:46:02,Brimstone,Controller
"And now I want brimstone in my garden I want roses set on fire, and I, well, I want what’s best for me, and I, I think I know just what that means.",2021-09-29 18:39:13,Brimstone,Controller
"@stephenasmith Oh yeah Philly. The city where if u win Super Bowl MVP, ur traded to the Jags??? Lol 😆. They put cheese wiz on sandwiches and the Pope says they’re gonna be destroyed by fire and brimstone. 🤨🤨🤨🤨🤨 Foles bro, Foles 😆",2021-09-29 18:35:41,Brimstone,Controller
"Just as Amin broke the final seal that would unleash the demonic goblin king and usher in a thousand generations of brimstone and suffering, Jenny turns the corner and yells, ""Stop, we had tater tots in the freezer after all.""",2021-09-29 18:34:06,Brimstone,Controller
"@MayoIsSpicyy I don’t believe in hell, but I will make an exception for Bill Cosby. Fire and brimstone for his ass.",2021-09-29 18:25:20,Brimstone,Controller
"@PaulCastle72 @dark1x “Listen, a LOT of people WANTED the volcano god to reawaken and reign terror upon our land. You have to be respectful of the fact that most of us wanted this. Please be patient while fire and brimstone rains from our skies. The inferno will subside in due time. Sry your son died”",2021-09-29 18:24:00,Brimstone,Controller
"Final Score from today's @armyrugbyunion Corps League 1 Match, a close 9-8 win vs @RLCRugbyUnion Many thanks for a great contest and thanks also to @MedwayRFC for your fantastic hospitality. #sappers #sapperrugby @Proud_Sappers @Brimstone_UXO @Kepi_Int @SapperSupport https://t.co/sEOKeZQeoM",2021-09-29 18:22:27,Brimstone,Controller
@IAmThePeej @ChurchofSatan swarmed up over the broad plain of the earth and surrounded the camp of the saints (God’s people) and the beloved city [[d]Jerusalem]; but fire came down from heaven and consumed them. 10 And the devil who had deceived them was hurled into the lake of fire and burning brimstone,2021-09-29 18:19:55,Brimstone,Controller
"@SapperRugbyMas1 @RLCRugbyUnion @Brimstone_UXO @39ComdOffr @sapperladiesRFC @103_Fd_Sqn_RE @1RSMERegt @21Engr @32Engr_CO @CorpsSM @CorpsColRE @Proud_Sappers Well done chaps, miss those days :-)",2021-09-29 18:18:55,Brimstone,Controller
"Revelation 21:8 - ""But the fearful, and unbelieving, and the abominable, and murderers, and whoremongers, and sorcerers, and idolaters, and all liars, shall have their part in the lake which burneth with fire and brimstone: which is the second death."" https://t.co/bZlElIXm6Q",2021-09-29 18:12:42,Brimstone,Controller
"Leviathan Halo - Round Sling Bag by Brimstone Apparel 
⏩ https://t.co/j5dpnXRLjr 
#occult #fashion #thelema #pagan #dowhatthouwilt #aleister #crowley #goth #punk #magick https://t.co/6jErqjPXaJ",2021-09-29 18:05:42,Brimstone,Controller
@CrystallineBD @theogrin Would it be considered as 'doxing' if you would drop the name and location of that school ? To stay with the 'christian' theme the people responsible for that decision are in dire need of some digital brimstone and fire. Or in simple internet-parlance: A fucking shitstorm 🤢🤮☠️,2021-09-29 18:03:04,Brimstone,Controller
@__nj____ @khumbuziile Yohhh fire in the name of Jesus! Fire and brimstone!,2021-09-29 18:00:09,Brimstone,Controller
@Gizzemmi brimstone main,2021-09-29 18:00:06,Brimstone,Controller
"Satisfying knife kill against the phoenix in Valorant https://t.co/tlg86gUgFg 
#Valorant #Brimstone #Phoenix #Knife",2021-09-29 17:53:43,Brimstone,Controller
"@Akazzi5 @EpsilonTheory @SECGov @congressdotgov @RobinhoodApp @citsecurities Hey @SenWarren, where is that fire and brimstone you always bring when crypto comes up?",2021-09-29 17:52:11,Brimstone,Controller
"@laulauev Wrong.
We Live FOR ETERNITY WITH GOD-JESUS, or Go into The lake of  fire and brimstone which is The Second Death. Revelation 21:8
Romans 10:9-13
JESUS PROVIDED AN ESCAPE ROUTE, Take It and Live, HE LOVES Us All.",2021-09-29 17:48:24,Brimstone,Controller
"@truemagic68 I have to politely disagree.  I was drifting off into my cup of mint tea.
Not exactly fire and brimstone.  TY.",2021-09-29 17:44:30,Brimstone,Controller
@AngelicAngieTv Me. @PlayVALORANT has brimstone which was modeled as a smaller version of mine,2021-09-29 17:44:16,Brimstone,Controller
"@KevBot_MTG Launching a KS for a pair of Weird Frontiers adventures! 🤠

They're titled The Brimstone Cradle and The Hills That Hunger. Go follow the page so you get notified on launch!
https://t.co/QWvm8UpLDE",2021-09-29 17:27:12,Brimstone,Controller
"Biblical Fairy Tale of Sodom and Gomorrah explained by, yep, Scientific evidence. 

https://t.co/4E4kU8NRia",2021-09-29 17:23:57,Brimstone,Controller
"@HelloEv67054535 @KnoxvilleHoller @TNGOP Enjoy the Hot Place!

Revelation 21:8 KJV
...and all liars [even Liars for Jesus], shall have their part in the lake which burneth with fire and brimstone: which is the second death. https://t.co/CDJR47ojBy",2021-09-29 17:19:39,Brimstone,Controller
"Thanks Scott for details in this report. It's time some judges focused on the exact words of these terrorists &amp; took them as seriously as they were made.  They had hellfire &amp; brimstone in their eyes as they attacked, &amp; I hate to think of the outcome IF they had all been armed. https://t.co/A62APSlQkz",2021-09-29 17:16:54,Brimstone,Controller
"@paleokrahl @ButlerLabBham @Tweetisaurus Also, the leaflets are really mainstream Christianity. No creationism mentioned, no fire and brimstone, all very 'Jesus was nice, wasn't he' in style and therefore really not pushy or dramatic at all. Not the kind I'd expect as anonymous mail sent to a scientist.",2021-09-29 17:15:49,Brimstone,Controller
"@kanye Oh,global warming is Hellfire and brimstone? This is BS,I wanted hookers, sinners, and Satan.",2021-09-29 17:15:07,Brimstone,Controller
"I DID get to laugh RACIST 'SCOTUS' Robert Bork'SS face away in a puff of brimstone!
Good Times! https://t.co/icWzGTSwS3",2021-09-29 17:14:36,Brimstone,Controller
"@haeunem Everyone's thought with no visual context. Brimstone: ""Not the [pussy] you hoped for""",2021-09-29 17:05:38,Brimstone,Controller
"@L4caX You know, I think Susie would be totally into Brimstone. I mean shooting a baddie melting blood laser, yeah she'd totally be into that.",2021-09-29 16:59:46,Brimstone,Controller
"Brimstone : you have to apologize to Kay/O for what you did.

Reyna : ugh, fine.

Kay/O, standing nearby : ... 

Reyna : unfuck you our whatever. 

#valorant #incorrectvalorant",2021-09-29 16:52:35,Brimstone,Controller
"@Sundae_Gurl2 Nobody really knows since nobody is coming back to enlighten us.
I hope that we have some kind of spiritual consciousness on the other side, but I definitely don't believe the fire and brimstone in hell with eternal agony bullshit. That stuff was by man written to control people.",2021-09-29 16:50:05,Brimstone,Controller
"@DavidPaternostr I'm reminded that it's apparently a thing in Louisiana to place shell fish inside hub caps to create a hard to remove smell.

Yeah, forget swords and brimstone. Forget anything Dante imagined",2021-09-29 16:46:09,Brimstone,Controller
do not play brimstone,2021-09-29 16:40:04,Brimstone,Controller
@nic_morgan @TheBeaverton A lot of us.  25 years in the party to watch the alt right neo religious fire and brimstone style conservatives take it over and remove the progressives.,2021-09-29 16:29:32,Brimstone,Controller
@babybunnyjac AND NOT BECOME A SOUL LOOSER SENDING PEOPLE TO THE LAKE OF SULFUR AND BRIMSTONE WHERE THERE IS NO RETURN!!!!,2021-09-29 16:25:57,Brimstone,Controller
"""And the devil that deceived them was cast into the lake of fire and brimstone, where the beast and the false prophet are, and shall be tormented day and night for ever and ever.""

Revelation 20:10 KJV",2021-09-29 16:24:55,Brimstone,Controller
@MissMandii Priviledge is one hell of a drug ! For you to see what's happening beyond your likkle world . It takes fire and brimstone . Soooo pooor !!,2021-09-29 16:20:19,Brimstone,Controller
@cozycooler Mera cat prolly smell like fire and brimstone.,2021-09-29 16:17:13,Brimstone,Controller
"@ken_brittain @OwenPaterson So your *Brexit* regions have supply, and well the stench of brimstone...

Thanks Unionist.",2021-09-29 16:17:11,Brimstone,Controller
@RedSharkk444 @vvwex_ @ValorantUpdated Against Brimstone isnt good too,2021-09-29 16:14:21,Brimstone,Controller
"this one is on the house, since its a cop-out, but needs to be stated: ocs i made for a reason
🧪 https://t.co/S174YvfR0V
🌌 https://t.co/hOo6jB9U0o
🤼‍♂️ https://t.co/EkshyCpWnN",2021-09-29 16:09:08,Brimstone,Controller
"@astrid_kaysen @StompTheGOP @DeanStover Their evangelical leaders teach fire and brimstone, (from Old Testament), to scare their ""sheep"". (Not at all unlike the Taliban).
According to their own Holy Scripture, with the birth of Jesus, there was a new covenant.",2021-09-29 16:08:39,Brimstone,Controller
"🎸 LIVE MUSIC IS BACK 🎶

Join us at CENTER BAR every Friday and Saturday 8-11pm  for THE BEST live music!

👉 FRI OCT 1
Brimstone

👉 SAT OCT 2
Chuck Brisbin &amp; The Tuna Project

ARE YOU READY TO ROCK! https://t.co/JBR247TWOi",2021-09-29 16:01:50,Brimstone,Controller
"@MenaTueje @daily_trust @elrufai Have you forgotten all the fire and brimstone the North promised, if power was not ceded to them from Jonathan?",2021-09-29 15:48:13,Brimstone,Controller
"@BoysMakeNoise @Rainey2910 Appreciate the lack of pictorial evidence for that last one.

Yep, I’m truly going to hell. Kinda always thought this is how it would be, but somehow…I expected it to have less “free flowing” champagne and more fire and brimstone. Who knew? 😂🤣😂",2021-09-29 15:37:30,Brimstone,Controller
"@Vancitybynight Launching a KS for a pair of Weird Frontiers adventures! 🤠

They're titled The Brimstone Cradle and The Hills That Hunger. Go follow the page so you get notified on launch!
https://t.co/QWvm8UpLDE",2021-09-29 15:26:27,Brimstone,Controller
"@HilltopThaughts My suggestion is this:

If they realize that fire and brimstone are the only alternative to them actually fixing the issues at hand, there won't be a need for it.",2021-09-29 15:06:53,Brimstone,Controller
"@FannKfann STOP!.. your all SUCKED into wasting time and brain power writing this crap that's tearing apart America! Build this country up! 
The alternative is a disaster. Land of the sombe...tribal fighting...lawlessness. A total loss of everyones way of life. Real fire and brimstone stuff",2021-09-29 15:06:48,Brimstone,Controller
if you see a brimstone and killjoy on bind just alt + f4,2021-09-29 15:01:57,Brimstone,Controller
"and now i found brimstone in my garden,
i found roses set on fire!",2021-09-29 14:44:55,Brimstone,Controller
"@dguydish @GeorgeTakei Born and raised Roman Catholic. Yes you're taught that, but most I've met don't believe it anymore. They haven't since at least Pope John Paul II when he said there's no such thing as a fire and brimstone hell with demons and that eternal damnation is self-inflicted.",2021-09-29 14:40:06,Brimstone,Controller
Brimstone; Mark Atwood - Dead Man https://t.co/trH8xQbqm6,2021-09-29 14:29:36,Brimstone,Controller
Wow that’s some fire and brimstone right there. Someone get me a damp towel so I can swab my brow. https://t.co/jQE5j1bDRY,2021-09-29 14:27:45,Brimstone,Controller
curly ineducable sandbag began laxness unconvincing geezer unite brimstone champ dynamically uncharitable raggedy acidic electrode Rasta deformed stool ornamental foxhole pellagra civilian flirt unoffensive penknives sacrificial hazel,2021-09-29 14:19:00,Brimstone,Controller
"@AdventurousTTR1 Launching a KS for a pair of Weird Frontiers adventures! 🤠

They're titled The Brimstone Cradle and The Hills That Hunger. Go follow the page so you get notified on launch!
https://t.co/QWvm8UpLDE",2021-09-29 14:17:32,Brimstone,Controller
"@n_quests Launching a KS for a pair of Weird Frontiers adventures! 🤠

They're titled The Brimstone Cradle and The Hills That Hunger. Go follow the page so you get notified on launch!
https://t.co/QWvm8UpLDE",2021-09-29 14:17:12,Brimstone,Controller
"@LibrariaNPC Launching a KS for a pair of Weird Frontiers adventures! 🤠

They're titled The Brimstone Cradle and The Hills That Hunger. Go follow the page so you get notified on launch!
https://t.co/QWvm8UpLDE",2021-09-29 14:16:25,Brimstone,Controller
"@CDNcapamerica Launching a KS for a pair of Weird Frontiers adventures! 🤠

They're titled The Brimstone Cradle and The Hills That Hunger. Go follow the page so you get notified on launch!
https://t.co/QWvm8UpLDE",2021-09-29 14:16:01,Brimstone,Controller
"@artcher_artwork Launching a KS for a pair of Weird Frontiers adventures! 🤠

They're titled The Brimstone Cradle and The Hills That Hunger. Go follow the page so you get notified on launch!
https://t.co/QWvm8UpLDE",2021-09-29 14:15:41,Brimstone,Controller
"@storiestod4 Launching a KS for a pair of Weird Frontiers adventures! 🤠

They're titled The Brimstone Cradle and The Hills That Hunger. Go follow the page so you get notified on launch!
https://t.co/QWvm8UpLDE",2021-09-29 14:15:12,Brimstone,Controller
@notxela brimstone just happy to be there,2021-09-29 14:12:38,Brimstone,Controller
@ArturoxX10x @Makoto69223354 @IamStarWraith Y con cypher y brimstone,2021-09-29 14:10:35,Brimstone,Controller
"@Reckless_Attack Thank you! The Brimstone Cradle is one of those adventure names that inspired the actual adventure content. Once I had the title, it was like a burst of creativity and pretty quickly I had a first draft.",2021-09-29 14:09:53,Brimstone,Controller
"@Em_Caligula Fire and brimstone coming down from the sky! Rivers and seas boiling! Forty years of darkness! Earthquakes, volcanoes... The dead rising from the grave! Human sacrifice, dogs and cats living together - MASS HYSTERIA! -- When pagan priests will sing for bred in the villages. 😍",2021-09-29 14:07:33,Brimstone,Controller
"@VaRedemption Launching a KS for a pair of Weird Frontiers adventures! 🤠

They're titled The Brimstone Cradle and The Hills That Hunger. Go follow the page so you get notified on launch!
https://t.co/QWvm8UpLDE",2021-09-29 14:05:35,Brimstone,Controller
"@DragoncrownG Launching a KS for a pair of Weird Frontiers adventures! 🤠

They're titled The Brimstone Cradle and The Hills That Hunger. Go follow the page so you get notified on launch!
https://t.co/QWvm8UpLDE",2021-09-29 14:04:14,Brimstone,Controller
"@briannajeans Launching a KS for a pair of Weird Frontiers adventures! 🤠

They're titled The Brimstone Cradle and The Hills That Hunger. Go follow the page so you get notified on launch!
https://t.co/QWvm8UpLDE",2021-09-29 14:03:36,Brimstone,Controller
"@Reckless_Attack Launching a KS for a pair of Weird Frontiers adventures! 🤠

They're titled The Brimstone Cradle and The Hills That Hunger. Go follow the page so you get notified on launch!
https://t.co/QWvm8UpLDE",2021-09-29 14:03:10,Brimstone,Controller
"@MagicMissilePod Launching a KS for a pair of Weird Frontiers adventures! 🤠

They're titled The Brimstone Cradle and The Hills That Hunger. Go follow the page so you get notified on launch!
https://t.co/QWvm8UpLDE",2021-09-29 14:01:33,Brimstone,Controller
@sapperrugby @armyrugbyunion @RLCRugbyUnion @MedwayRFC @Brimstone_UXO @Proud_Sappers @ArmySportASCB Cpl Farrier (could be Sgt now) still coaching the team at Carver? Haven't seen him for ages,2021-09-29 14:00:13,Brimstone,Controller
"“Keir Starmer’s conference speech marks the end of the Corbynista fire and brimstone era and a return to a Labour Party that wants to be electable.""

Our @DanielPryorr responds to @Keir_Starmer's #Lab21 #LabourConference2021 speech: https://t.co/SYuiSy9Hf1",2021-09-29 13:46:34,Brimstone,Controller
"Every Christian church I've attended has tried to enforce this co-dependent relationship with Jesus upon me, threatening a fate filled with fire and brimstone. They use fear tactics to force an ultimatum and create sheep who feel they NEED a savior.",2021-09-29 13:43:02,Brimstone,Controller
"🎶🎵 You can drown me in the water and shoot me down in flames
But I will come again
I got the taste of brimstone and you try to make me leave
I will come again
You can drown me in the water and shoot me down in flames
But I will come again🎶🎵",2021-09-29 13:39:53,Brimstone,Controller
im gonna go learn brimstone lineups brb https://t.co/E7cksJZvqY,2021-09-29 13:38:33,Brimstone,Controller
"@GMcK2012 Flat Earth, Stale wind , Fire and Brimstone",2021-09-29 13:31:30,Brimstone,Controller
"Well done to the @SapperRugbyMas1 beating the @RLCRugbyUnion masters 57-10 at Medway.
Led by coach Matt Pritchard and thank you to @Brimstone_UXO sponsors of the new Kit. 

Next match 20th Oct. Location TBC.
#sapperpower
#ProudSappers
#sappersleadtheway https://t.co/4XqMXl28ZH",2021-09-29 13:28:27,Brimstone,Controller
@john_mcguirk Fire and brimstone,2021-09-29 13:26:04,Brimstone,Controller
"@__chatchat__ @pete_mccarthy @GBNEWS The world was ending with y2k and then in 2012 but low and behold the fire and brimstone never came. Don't look up the figures on mass farming if this insulation is getting you frothy, you will have a coronary.",2021-09-29 13:23:39,Brimstone,Controller
@UnbrokeNTTV mshhhh 6bee3eee fe brimstone,2021-09-29 13:23:35,Brimstone,Controller
"@Uniqornaments We got ash and brimstone tho. It's not that nice. Smells like rotten eggs, but in that temperature, I doubt the human sense of smell would work at all. Plus, lay off the cholesterol a lil, eat sum veggies~",2021-09-29 13:22:24,Brimstone,Controller
"“Reverend Fire and Brimstone was firing hot, staccato words – ""Heathen,"" ""Pagan,"" ""Satan,"" and the old standbys ""Damnation"" and ""Hell"" – like bullets into my silent waters.” #spirituality #FreeEbook  https://t.co/hcGkEIfhD2",2021-09-29 13:07:18,Brimstone,Controller
@the_usal @SandraW341 @rc_outside @TimHairston7 @jnatael @LorenDempster @RonjayFair @kathmregel @1BoysFan I believe the same thing. The “Church” needs a great awakening or a rapture. We’re at least 60 years into the Nicolatian description of the “Church”. It’s when they decided fire and brimstone preaching was turning people off they invited the world in with soft gospel.,2021-09-29 12:55:47,Brimstone,Controller
"And the winner is . . . The Police - I Burn For You.  From the Brimstone and Treacle Soundtrack.

https://t.co/hM05EHJC58 https://t.co/sNPAUYmdf8",2021-09-29 12:52:55,Brimstone,Controller
black tea and brimstone,2021-09-29 12:49:14,Brimstone,Controller
@MxxyMerlin Brimstone tattoo? I love that 😄,2021-09-29 12:40:49,Brimstone,Controller
"@pokiman88545075 @jymbyx @neT_valorant (2/2) That shit is hard to pull off not only because of timing but also because your team has to be as fucking coordinated as possible. And Astra isn't even played much (at least in my servers) since there are ""better"" options such as Brimstone or Omen who have Stims and Flashes.",2021-09-29 12:35:56,Brimstone,Controller
@YinsuCollins @valesports_eu @nAts__ss @OfficialBoaster @cNedf0r If liquid wins lcq they can't not include L1nk playing brimstone with judge,2021-09-29 12:14:31,Brimstone,Controller
Starmer is no Kinnock. Kinnock took on Militant in public with fire and brimstone. Starmer wimpers through  the heckling and only takes his opponents on from behind. #Lab21,2021-09-29 12:13:32,Brimstone,Controller
"@JuSummerhayes That's certainly the media narrative to make you keep watching. 
Try not to take it too seriously. My girlfriend is American and she watches US news shows and they are fire  brimstone over lost puppies etc.
If it is stressing you out just go find some puppies to play with instead",2021-09-29 12:12:58,Brimstone,Controller
"*****THE LA PALMA VOLCANO IN SPAIN IS BLOWING AGAIN*****HELL IS POURING OUT FIRE AND BRIMSTONE******RAPTURE SOON?******
Gabby Petito, Defense officials to testify on Afghanistan exit &amp; more to... https://t.co/oTLmky9le4 via @YouTube",2021-09-29 12:08:04,Brimstone,Controller
"This same thing played out during GEJ, when some clannish zealots otherized the entire country, but south-south. Under GEJ watchful eyes, Edwin Clerk and his passengers went about with rhetorics &amp;threatened fire&amp; brimstone against anyone who rise eyebrows against their posturing.",2021-09-29 11:46:05,Brimstone,Controller
"@DextersTechLab And Brimstone...

Brimstone is a glowing ceramic wirewound.",2021-09-29 11:45:55,Brimstone,Controller
Fire%20and%20Brimstone%3A%20A%20Giant%20Space%20Rock%20Demolished%20an%20Ancient%20Middle%20Eastern%20City%20and%20Everyone%20in%20It https://t.co/bqp86MeCej,2021-09-29 11:24:08,Brimstone,Controller
"Lol,

The South-east is turning into everything we spoke about.

Some people were breathing fire and brimstone rather than being strategic about all this.

Anyways, I really hope the ""Land without a King"" comes together to find a solution.",2021-09-29 10:40:56,Brimstone,Controller
You will never know who you truly are. Your morals and beliefs come from those who you know are immoral. You say you want to break the system yet you applaud and cheer when they take your rights from you. You will never know peace. Fire and brimstone will be all you know. Burn. https://t.co/pxeReyDNhI,2021-09-29 10:39:40,Brimstone,Controller
@brimstone_ng Location?,2021-09-29 10:24:32,Brimstone,Controller
"@chaser Excuse you?? This wasn't in my diary! Now I'll be up all night rescheduling baby sacrifices, sulphur &amp; brimstone deliveries, pitchfork sharpening and all that sodomising of  solicitors &amp; politicians. This is why He pays me the big bucks.",2021-09-29 10:22:27,Brimstone,Controller
@chaser BRIMSTONE DADDY-ISSUES PURGATORY meets GASLIGHT GATEKEEP GIRLBOSS,2021-09-29 10:18:33,Brimstone,Controller
marshal brimstone https://t.co/hwexFaWVn5,2021-09-29 10:10:10,Brimstone,Controller
